"Statistic","Year","Local Government District","Broad Industry Group","Employee Size Band","0 to 99","100 to 499","500 to 999","1000 to 4999","5000+","All"
"Number of Businesses",2019,"Mid Ulster","Business Administration and Support Services","0",45,10,NA,NA,NA,55
"Number of Businesses",2019,"Mid Ulster","Business Administration and Support Services","1 to 9",60,85,10,5,NA,165
"Number of Businesses",2019,"Mid Ulster","Business Administration and Support Services","10 to 49",NA,5,NA,NA,NA,15
"Number of Businesses",2019,"Mid Ulster","Business Administration and Support Services","50 to 249",NA,NA,NA,NA,NA,5
"Number of Businesses",2019,"Mid Ulster","Business Administration and Support Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid Ulster","Business Administration and Support Services","All",105,100,15,15,NA,240
"Number of Businesses",2019,"Mid Ulster","Public Administration and Defence","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid Ulster","Public Administration and Defence","1 to 9",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid Ulster","Public Administration and Defence","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid Ulster","Public Administration and Defence","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid Ulster","Public Administration and Defence","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid Ulster","Public Administration and Defence","All",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid Ulster","Education","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid Ulster","Education","1 to 9",15,20,NA,NA,NA,30
"Number of Businesses",2019,"Mid Ulster","Education","10 to 49",NA,NA,5,NA,NA,10
"Number of Businesses",2019,"Mid Ulster","Education","50 to 249",NA,NA,NA,NA,NA,5
"Number of Businesses",2019,"Mid Ulster","Education","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid Ulster","Education","All",15,20,5,5,NA,50
"Number of Businesses",2019,"Mid Ulster","Health","0",5,NA,NA,NA,NA,5
"Number of Businesses",2019,"Mid Ulster","Health","1 to 9",25,100,5,NA,NA,135
"Number of Businesses",2019,"Mid Ulster","Health","10 to 49",NA,NA,20,20,NA,45
"Number of Businesses",2019,"Mid Ulster","Health","50 to 249",NA,NA,NA,10,NA,10
"Number of Businesses",2019,"Mid Ulster","Health","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid Ulster","Health","All",35,105,25,30,NA,200
"Number of Businesses",2019,"Mid Ulster","Arts, Entertainment, Recreation and Other Services","0",45,5,NA,NA,NA,50
"Number of Businesses",2019,"Mid Ulster","Arts, Entertainment, Recreation and Other Services","1 to 9",150,100,NA,NA,NA,250
"Number of Businesses",2019,"Mid Ulster","Arts, Entertainment, Recreation and Other Services","10 to 49",NA,5,5,NA,NA,15
"Number of Businesses",2019,"Mid Ulster","Arts, Entertainment, Recreation and Other Services","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid Ulster","Arts, Entertainment, Recreation and Other Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid Ulster","Arts, Entertainment, Recreation and Other Services","All",190,110,10,5,NA,320
"Number of Businesses",2019,"Mid Ulster","All Industries","0",3155,710,35,15,NA,3915
"Number of Businesses",2019,"Mid Ulster","All Industries","1 to 9",1300,2295,475,310,25,4410
"Number of Businesses",2019,"Mid Ulster","All Industries","10 to 49",10,65,130,315,60,585
"Number of Businesses",2019,"Mid Ulster","All Industries","50 to 249",NA,NA,NA,40,85,130
"Number of Businesses",2019,"Mid Ulster","All Industries","250+",NA,NA,NA,NA,15,15
"Number of Businesses",2019,"Mid Ulster","All Industries","All",4460,3070,640,685,195,9050
"Number of Businesses",2019,"Newry, Mourne and Down","Agriculture, Forestry & Fishing","0",1710,245,NA,NA,NA,1960
"Number of Businesses",2019,"Newry, Mourne and Down","Agriculture, Forestry & Fishing","1 to 9",80,250,60,20,NA,410
"Number of Businesses",2019,"Newry, Mourne and Down","Agriculture, Forestry & Fishing","10 to 49",NA,NA,NA,5,NA,10
"Number of Businesses",2019,"Newry, Mourne and Down","Agriculture, Forestry & Fishing","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Newry, Mourne and Down","Agriculture, Forestry & Fishing","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Newry, Mourne and Down","Agriculture, Forestry & Fishing","All",1790,495,60,30,NA,2380
"Number of Businesses",2019,"Newry, Mourne and Down","Production","0",55,20,NA,NA,NA,75
"Number of Businesses",2019,"Newry, Mourne and Down","Production","1 to 9",145,210,40,20,NA,415
"Number of Businesses",2019,"Newry, Mourne and Down","Production","10 to 49",NA,NA,15,50,15,85
"Number of Businesses",2019,"Newry, Mourne and Down","Production","50 to 249",NA,NA,NA,NA,15,20
"Number of Businesses",2019,"Newry, Mourne and Down","Production","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Newry, Mourne and Down","Production","All",195,235,60,75,35,600
"Number of Businesses",2019,"Newry, Mourne and Down","Construction","0",310,140,5,NA,NA,460
"Number of Businesses",2019,"Newry, Mourne and Down","Construction","1 to 9",355,485,95,55,5,995
"Number of Businesses",2019,"Newry, Mourne and Down","Construction","10 to 49",NA,NA,10,40,15,70
"Number of Businesses",2019,"Newry, Mourne and Down","Construction","50 to 249",NA,NA,NA,NA,5,10
"Number of Businesses",2019,"Newry, Mourne and Down","Construction","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Newry, Mourne and Down","Construction","All",665,630,115,100,25,1535
"Number of Businesses",2019,"Newry, Mourne and Down","Motor Trades","0",30,15,NA,5,NA,55
"Number of Businesses",2019,"Newry, Mourne and Down","Motor Trades","1 to 9",40,120,25,30,NA,215
"Number of Businesses",2019,"Newry, Mourne and Down","Motor Trades","10 to 49",NA,NA,NA,5,5,15
"Number of Businesses",2019,"Newry, Mourne and Down","Motor Trades","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Newry, Mourne and Down","Motor Trades","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Newry, Mourne and Down","Motor Trades","All",65,135,30,45,10,285
"Number of Businesses",2019,"Newry, Mourne and Down","Wholesale","0",30,30,NA,NA,NA,65
"Number of Businesses",2019,"Newry, Mourne and Down","Wholesale","1 to 9",60,100,45,55,5,265
"Number of Businesses",2019,"Newry, Mourne and Down","Wholesale","10 to 49",NA,NA,NA,20,10,35
"Number of Businesses",2019,"Newry, Mourne and Down","Wholesale","50 to 249",NA,NA,NA,NA,5,5
"Number of Businesses",2019,"Newry, Mourne and Down","Wholesale","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Newry, Mourne and Down","Wholesale","All",90,130,50,80,25,370
"Number of Businesses",2019,"Newry, Mourne and Down","Retail","0",40,35,5,NA,NA,85
"Number of Businesses",2019,"Newry, Mourne and Down","Retail","1 to 9",75,265,75,30,NA,450
"Number of Businesses",2019,"Newry, Mourne and Down","Retail","10 to 49",NA,5,25,65,5,105
"Number of Businesses",2019,"Newry, Mourne and Down","Retail","50 to 249",NA,NA,NA,5,15,20
"Number of Businesses",2019,"Newry, Mourne and Down","Retail","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Newry, Mourne and Down","Retail","All",115,305,105,105,25,660
"Number of Businesses",2019,"Newry, Mourne and Down","Transport & Storage (inc Postal)","0",50,30,NA,NA,NA,85
"Number of Businesses",2019,"Newry, Mourne and Down","Transport & Storage (inc Postal)","1 to 9",70,120,25,10,NA,230
"Number of Businesses",2019,"Newry, Mourne and Down","Transport & Storage (inc Postal)","10 to 49",NA,NA,5,10,5,25
"Number of Businesses",2019,"Newry, Mourne and Down","Transport & Storage (inc Postal)","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Newry, Mourne and Down","Transport & Storage (inc Postal)","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Newry, Mourne and Down","Transport & Storage (inc Postal)","All",125,155,30,20,10,340
"Number of Businesses",2019,"Newry, Mourne and Down","Accommodation & Food Services","0",20,20,NA,NA,NA,35
"Number of Businesses",2019,"Newry, Mourne and Down","Accommodation & Food Services","1 to 9",95,190,10,NA,NA,300
"Number of Businesses",2019,"Newry, Mourne and Down","Accommodation & Food Services","10 to 49",NA,40,35,15,NA,90
"Number of Businesses",2019,"Newry, Mourne and Down","Accommodation & Food Services","50 to 249",NA,NA,NA,10,NA,10
"Number of Businesses",2019,"Newry, Mourne and Down","Accommodation & Food Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Newry, Mourne and Down","Accommodation & Food Services","All",115,250,45,25,NA,435
"Number of Businesses",2019,"Newry, Mourne and Down","Information & Communication","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Newry, Mourne and Down","Information & Communication","1 to 9",75,65,NA,NA,NA,145
"Number of Businesses",2019,"Newry, Mourne and Down","Information & Communication","10 to 49",NA,NA,NA,NA,NA,5
"Number of Businesses",2019,"Newry, Mourne and Down","Information & Communication","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Newry, Mourne and Down","Information & Communication","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Newry, Mourne and Down","Information & Communication","All",75,70,5,NA,NA,155
"Number of Businesses",2019,"Newry, Mourne and Down","Finance & Insurance","0",30,NA,NA,NA,NA,30
"Number of Businesses",2019,"Newry, Mourne and Down","Finance & Insurance","1 to 9",10,25,15,NA,NA,60
"Number of Businesses",2019,"Newry, Mourne and Down","Finance & Insurance","10 to 49",NA,NA,NA,10,NA,10
"Number of Businesses",2019,"Newry, Mourne and Down","Finance & Insurance","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Newry, Mourne and Down","Finance & Insurance","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Newry, Mourne and Down","Finance & Insurance","All",40,25,15,10,NA,95
"Number of Businesses",2019,"Newry, Mourne and Down","Property","0",55,5,NA,NA,NA,65
"Number of Businesses",2019,"Newry, Mourne and Down","Property","1 to 9",75,55,NA,NA,NA,135
"Number of Businesses",2019,"Newry, Mourne and Down","Property","10 to 49",NA,NA,NA,NA,NA,5
"Number of Businesses",2019,"Newry, Mourne and Down","Property","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Newry, Mourne and Down","Property","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Newry, Mourne and Down","Property","All",130,65,5,NA,NA,205
"Number of Businesses",2019,"Newry, Mourne and Down","Professional, Scientific & Technical","0",35,20,NA,NA,NA,55
"Number of Businesses",2019,"Newry, Mourne and Down","Professional, Scientific & Technical","1 to 9",195,265,15,5,NA,480
"Number of Businesses",2019,"Newry, Mourne and Down","Professional, Scientific & Technical","10 to 49",NA,10,15,15,NA,45
"Number of Businesses",2019,"Newry, Mourne and Down","Professional, Scientific & Technical","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Newry, Mourne and Down","Professional, Scientific & Technical","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Newry, Mourne and Down","Professional, Scientific & Technical","All",235,295,30,20,NA,585
"Number of Businesses",2019,"Newry, Mourne and Down","Business Administration and Support Services","0",40,15,NA,NA,NA,55
"Number of Businesses",2019,"Newry, Mourne and Down","Business Administration and Support Services","1 to 9",65,140,15,5,NA,225
"Number of Businesses",2019,"Newry, Mourne and Down","Business Administration and Support Services","10 to 49",NA,NA,5,5,NA,20
"Number of Businesses",2019,"Newry, Mourne and Down","Business Administration and Support Services","50 to 249",NA,NA,NA,NA,NA,5
"Number of Businesses",2019,"Newry, Mourne and Down","Business Administration and Support Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Newry, Mourne and Down","Business Administration and Support Services","All",105,160,25,15,NA,305
"Number of Businesses",2019,"Newry, Mourne and Down","Public Administration and Defence","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Newry, Mourne and Down","Public Administration and Defence","1 to 9",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Newry, Mourne and Down","Public Administration and Defence","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Newry, Mourne and Down","Public Administration and Defence","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Newry, Mourne and Down","Public Administration and Defence","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Newry, Mourne and Down","Public Administration and Defence","All",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Newry, Mourne and Down","Education","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Newry, Mourne and Down","Education","1 to 9",15,25,NA,NA,NA,45
"Number of Businesses",2019,"Newry, Mourne and Down","Education","10 to 49",NA,NA,10,NA,NA,15
"Number of Businesses",2019,"Newry, Mourne and Down","Education","50 to 249",NA,NA,NA,5,NA,10
"Number of Businesses",2019,"Newry, Mourne and Down","Education","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Newry, Mourne and Down","Education","All",20,30,10,10,NA,70
"Number of Businesses",2019,"Newry, Mourne and Down","Health","0",10,NA,NA,NA,NA,10
"Number of Businesses",2019,"Newry, Mourne and Down","Health","1 to 9",40,125,10,NA,NA,175
"Number of Businesses",2019,"Newry, Mourne and Down","Health","10 to 49",NA,10,30,20,NA,65
"Number of Businesses",2019,"Newry, Mourne and Down","Health","50 to 249",NA,NA,NA,10,NA,15
"Number of Businesses",2019,"Newry, Mourne and Down","Health","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Newry, Mourne and Down","Health","All",50,140,40,35,5,265
"Number of Businesses",2019,"Newry, Mourne and Down","Arts, Entertainment, Recreation and Other Services","0",45,5,NA,NA,NA,50
"Number of Businesses",2019,"Newry, Mourne and Down","Arts, Entertainment, Recreation and Other Services","1 to 9",215,155,5,NA,NA,375
"Number of Businesses",2019,"Newry, Mourne and Down","Arts, Entertainment, Recreation and Other Services","10 to 49",NA,20,5,5,NA,35
"Number of Businesses",2019,"Newry, Mourne and Down","Arts, Entertainment, Recreation and Other Services","50 to 249",NA,NA,NA,NA,NA,5
"Number of Businesses",2019,"Newry, Mourne and Down","Arts, Entertainment, Recreation and Other Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Newry, Mourne and Down","Arts, Entertainment, Recreation and Other Services","All",260,180,15,10,NA,465
"Number of Businesses",2019,"Newry, Mourne and Down","All Industries","0",2460,580,25,20,NA,3085
"Number of Businesses",2019,"Newry, Mourne and Down","All Industries","1 to 9",1605,2600,440,250,20,4920
"Number of Businesses",2019,"Newry, Mourne and Down","All Industries","10 to 49",10,105,165,275,65,625
"Number of Businesses",2019,"Newry, Mourne and Down","All Industries","50 to 249",NA,NA,NA,50,50,105
"Number of Businesses",2019,"Newry, Mourne and Down","All Industries","250+",NA,NA,NA,NA,15,15
"Number of Businesses",2019,"Newry, Mourne and Down","All Industries","All",4075,3290,635,595,155,8745
"Number of Businesses",2019,"Ards and North Down","Agriculture, Forestry & Fishing","0",305,90,NA,NA,NA,395
"Number of Businesses",2019,"Ards and North Down","Agriculture, Forestry & Fishing","1 to 9",20,115,35,10,NA,180
"Number of Businesses",2019,"Ards and North Down","Agriculture, Forestry & Fishing","10 to 49",NA,NA,5,10,NA,15
"Number of Businesses",2019,"Ards and North Down","Agriculture, Forestry & Fishing","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Ards and North Down","Agriculture, Forestry & Fishing","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Ards and North Down","Agriculture, Forestry & Fishing","All",330,205,40,20,NA,595
"Number of Businesses",2019,"Ards and North Down","Production","0",30,10,NA,NA,NA,40
"Number of Businesses",2019,"Ards and North Down","Production","1 to 9",95,105,20,10,NA,230
"Number of Businesses",2019,"Ards and North Down","Production","10 to 49",NA,5,10,20,5,40
"Number of Businesses",2019,"Ards and North Down","Production","50 to 249",NA,NA,NA,NA,10,15
"Number of Businesses",2019,"Ards and North Down","Production","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Ards and North Down","Production","All",125,120,30,35,15,325
"Number of Businesses",2019,"Ards and North Down","Construction","0",90,55,10,NA,NA,155
"Number of Businesses",2019,"Ards and North Down","Construction","1 to 9",125,230,50,35,NA,445
"Number of Businesses",2019,"Ards and North Down","Construction","10 to 49",NA,NA,NA,20,5,30
"Number of Businesses",2019,"Ards and North Down","Construction","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Ards and North Down","Construction","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Ards and North Down","Construction","All",210,290,65,55,10,630
"Number of Businesses",2019,"Ards and North Down","Motor Trades","0",20,20,NA,NA,NA,40
"Number of Businesses",2019,"Ards and North Down","Motor Trades","1 to 9",30,75,10,10,NA,130
"Number of Businesses",2019,"Ards and North Down","Motor Trades","10 to 49",NA,NA,NA,10,5,15
"Number of Businesses",2019,"Ards and North Down","Motor Trades","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Ards and North Down","Motor Trades","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Ards and North Down","Motor Trades","All",50,95,15,20,5,185
"Number of Businesses",2019,"Ards and North Down","Wholesale","0",30,25,NA,NA,NA,60
"Number of Businesses",2019,"Ards and North Down","Wholesale","1 to 9",40,55,20,20,NA,135
"Number of Businesses",2019,"Ards and North Down","Wholesale","10 to 49",NA,NA,NA,10,NA,15
"Number of Businesses",2019,"Ards and North Down","Wholesale","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Ards and North Down","Wholesale","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Ards and North Down","Wholesale","All",70,80,25,30,NA,210
"Number of Businesses",2019,"Ards and North Down","Retail","0",30,25,NA,NA,NA,60
"Number of Businesses",2019,"Ards and North Down","Retail","1 to 9",50,200,30,15,NA,300
"Number of Businesses",2019,"Ards and North Down","Retail","10 to 49",NA,5,15,40,NA,60
"Number of Businesses",2019,"Ards and North Down","Retail","50 to 249",NA,NA,NA,NA,5,5
"Number of Businesses",2019,"Ards and North Down","Retail","250+",NA,NA,NA,NA,NA,NA
