"Statistic","Quarter","NI Major Port","Direction of flow","Other General Cargo","Dry Bulk","Liquid Bulk","Lo-Lo","Ro-Ro Freight","Ro-Ro Non-Freight","All"
"Total Units","2020Q3","Larne","Outwards",0,0,0,0,23.849,12.534,36.383
"Total Units","2020Q3","Londonderry","Inwards",0,0,0,0,0,0,0
"Total Units","2020Q3","Londonderry","Outwards",0,0,0,0,0,0,0
"Total Units","2020Q3","Warrenpoint","Inwards",0,0,0,1.639481723,14.26321868,3.754587649,19.65728805
"Total Units","2020Q3","Warrenpoint","Outwards",0,0,0,1.911724322,18.42532018,0.150372595,20.4874171
"Total Units","2020Q4","Belfast","Inwards",0,0,0,15.48988024,77.945,35.282,128.7168802
"Total Units","2020Q4","Belfast","Outwards",0,0,0,15.69436412,76.95,23.7640082,116.4083723
"Total Units","2020Q4","Kilroot Power Station Jetty","Inwards",0,0,0,0,0,0,0
"Total Units","2020Q4","Kilroot Power Station Jetty","Outwards",0,0,0,0,0,0,0
"Total Units","2020Q4","Larne","Inwards",0,0,0,0,27.439,6.499,33.938
"Total Units","2020Q4","Larne","Outwards",0,0,0,0,24.874,5.237,30.111
"Total Units","2020Q4","Londonderry","Inwards",0,0,0,0,0,0,0
"Total Units","2020Q4","Londonderry","Outwards",0,0,0,0,0,0,0
"Total Units","2020Q4","Warrenpoint","Inwards",0,0,0,2.598637023,13.70400838,2.135133724,18.43777912
"Total Units","2020Q4","Warrenpoint","Outwards",0,0,0,2.446983069,12.30722407,0.167275862,14.921483
"Total Units","2021Q1","Belfast","Inwards",0,0,0,15.84528355,71.37949349,24.70348518,111.9282622
"Total Units","2021Q1","Belfast","Outwards",0,0,0,16.08804783,74.679,19.685,110.4520478
"Total Units","2021Q1","Kilroot Power Station Jetty","Inwards",0,0,0,0,0,0,0
"Total Units","2021Q1","Kilroot Power Station Jetty","Outwards",0,0,0,0,0,0,0
"Total Units","2021Q1","Larne","Inwards",0,0,0,0,27.84691252,4.541585477,32.388498
"Total Units","2021Q1","Larne","Outwards",0,0,0,0,26.18361239,4.132337741,30.31595013
"Total Units","2021Q1","Londonderry","Inwards",0,0,0,0,0,0,0
"Total Units","2021Q1","Londonderry","Outwards",0,0,0,0,0,0,0
"Total Units","2021Q1","Warrenpoint","Inwards",0,0,0,5.890675508,13.31558869,0,19.2062642
"Total Units","2021Q1","Warrenpoint","Outwards",0,0,0,4.500333099,17.36297142,0.039,21.90230452
"Total Units","2021Q2","Belfast","Inwards",0,0,0,16.85355831,81.74066287,58.44194956,157.0361707
"Total Units","2021Q2","Belfast","Outwards",0,0,0,16.75180395,82.235,46.59,145.5768039
"Total Units","2021Q2","Kilroot Power Station Jetty","Inwards",0,0,0,0,0,0,0
"Total Units","2021Q2","Kilroot Power Station Jetty","Outwards",0,0,0,0,0,0,0
"Total Units","2021Q2","Larne","Inwards",0,0,0,0,28.85890966,12.2183909,41.07730056
"Total Units","2021Q2","Larne","Outwards",0,0,0,0,27.31371624,10.58519678,37.89891302
