"Statistic","Academic year","Local Government District","Attainment","Free school meal entitled","Not free school meal entitled","All persons"
"Percentage of school leavers","2022/23","Mid Ulster","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",26.7,48.9,44.3
"Percentage of school leavers","2022/23","Mid Ulster","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",36.9,58.7,54.2
"Percentage of school leavers","2022/23","Mid Ulster","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",41.3,61.2,57.1
"Percentage of school leavers","2022/23","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",85.7,93.3,91.7
"Percentage of school leavers","2022/23","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",63.8,83.8,79.7
"Percentage of school leavers","2022/23","Mid Ulster","Total leavers",NA,NA,NA
"Percentage of school leavers","2022/23","Newry, Mourne and Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",24.5,48.1,42.8
"Percentage of school leavers","2022/23","Newry, Mourne and Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",36.1,59.2,54
"Percentage of school leavers","2022/23","Newry, Mourne and Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",39.3,62.7,57.4
"Percentage of school leavers","2022/23","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",82.4,92,89.8
"Percentage of school leavers","2022/23","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",62.5,81.9,77.5
"Percentage of school leavers","2022/23","Newry, Mourne and Down","Total leavers",NA,NA,NA
"Percentage of school leavers","2022/23","Ards and North Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",18.3,50.2,44.3
"Percentage of school leavers","2022/23","Ards and North Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",29,62.2,56
"Percentage of school leavers","2022/23","Ards and North Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",32.9,65.4,59.4
"Percentage of school leavers","2022/23","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",76.8,93.4,90.4
"Percentage of school leavers","2022/23","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",54.3,83.8,78.4
"Percentage of school leavers","2022/23","Ards and North Down","Total leavers",NA,NA,NA
"Percentage of school leavers","2022/23","Northern Ireland","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",21.6,48.7,42.1
"Percentage of school leavers","2022/23","Northern Ireland","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",31.3,60.1,53.1
"Percentage of school leavers","2022/23","Northern Ireland","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",35.1,63,56.2
"Percentage of school leavers","2022/23","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",80,93,89.8
"Percentage of school leavers","2022/23","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",56.5,82.3,76.1
"Percentage of school leavers","2022/23","Northern Ireland","Total leavers",NA,NA,NA
"Percentage of school leavers","2023/24","Antrim and Newtownabbey","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",16.5,45.2,40.1
"Percentage of school leavers","2023/24","Antrim and Newtownabbey","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",23.2,56.7,50.8
"Percentage of school leavers","2023/24","Antrim and Newtownabbey","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",27.2,59.5,53.7
"Percentage of school leavers","2023/24","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",78,91.1,88.8
"Percentage of school leavers","2023/24","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",47.7,76.5,71.4
"Percentage of school leavers","2023/24","Antrim and Newtownabbey","Total leavers",NA,NA,NA
"Percentage of school leavers","2023/24","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",18.3,37,34.2
"Percentage of school leavers","2023/24","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",22.7,48.9,45
"Percentage of school leavers","2023/24","Armagh City, Banbridge and Craigavon","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",25.4,50.4,46.7
"Percentage of school leavers","2023/24","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",70.3,89.1,86.3
"Percentage of school leavers","2023/24","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",43.2,73.4,68.9
"Percentage of school leavers","2023/24","Armagh City, Banbridge and Craigavon","Total leavers",NA,NA,NA
"Percentage of school leavers","2023/24","Belfast","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",25.4,43.7,38.5
"Percentage of school leavers","2023/24","Belfast","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",39.2,56.4,51.6
"Percentage of school leavers","2023/24","Belfast","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",42.7,60.1,55.2
"Percentage of school leavers","2023/24","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",82.6,87.8,86.4
"Percentage of school leavers","2023/24","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",55.2,72.6,67.7
"Percentage of school leavers","2023/24","Belfast","Total leavers",NA,NA,NA
"Percentage of school leavers","2023/24","Causeway Coast and Glens","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",16,38.4,33
"Percentage of school leavers","2023/24","Causeway Coast and Glens","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",24.6,51.8,45.3
"Percentage of school leavers","2023/24","Causeway Coast and Glens","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",25.7,55,47.9
"Percentage of school leavers","2023/24","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",75.6,91,87.3
"Percentage of school leavers","2023/24","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",44,77.7,69.6
"Percentage of school leavers","2023/24","Causeway Coast and Glens","Total leavers",NA,NA,NA
"Percentage of school leavers","2023/24","Derry City and Strabane","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",23.7,42.2,36.1
"Percentage of school leavers","2023/24","Derry City and Strabane","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",33.8,56,48.6
"Percentage of school leavers","2023/24","Derry City and Strabane","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",37.6,58.8,51.7
"Percentage of school leavers","2023/24","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",78.7,90.8,86.8
"Percentage of school leavers","2023/24","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",52.7,78.3,69.8
"Percentage of school leavers","2023/24","Derry City and Strabane","Total leavers",NA,NA,NA
"Percentage of school leavers","2023/24","Fermanagh and Omagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",21.6,44.3,39.4
"Percentage of school leavers","2023/24","Fermanagh and Omagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",33.9,57.4,52.3
"Percentage of school leavers","2023/24","Fermanagh and Omagh","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",39.2,61.3,56.5
"Percentage of school leavers","2023/24","Fermanagh and Omagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",82.2,92.1,89.9
"Percentage of school leavers","2023/24","Fermanagh and Omagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",62.9,80.9,77
"Percentage of school leavers","2023/24","Fermanagh and Omagh","Total leavers",NA,NA,NA
"Percentage of school leavers","2023/24","Lisburn and Castlereagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",17.5,51.4,46.3
"Percentage of school leavers","2023/24","Lisburn and Castlereagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",29.2,63.5,58.3
"Percentage of school leavers","2023/24","Lisburn and Castlereagh","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",32.5,65.7,60.6
"Percentage of school leavers","2023/24","Lisburn and Castlereagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",75.9,92.5,90
"Percentage of school leavers","2023/24","Lisburn and Castlereagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",53.6,84.1,79.5
"Percentage of school leavers","2023/24","Lisburn and Castlereagh","Total leavers",NA,NA,NA
"Percentage of school leavers","2023/24","Mid and East Antrim","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",17.7,47.8,41.4
"Percentage of school leavers","2023/24","Mid and East Antrim","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",26.7,59.8,52.8
"Percentage of school leavers","2023/24","Mid and East Antrim","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",31.7,63.1,56.5
"Percentage of school leavers","2023/24","Mid and East Antrim","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",72.2,91.5,87.4
"Percentage of school leavers","2023/24","Mid and East Antrim","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",46.6,78.8,72
"Percentage of school leavers","2023/24","Mid and East Antrim","Total leavers",NA,NA,NA
"Percentage of school leavers","2023/24","Mid Ulster","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",21.8,43.1,39
"Percentage of school leavers","2023/24","Mid Ulster","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",33.5,55.5,51.2
"Percentage of school leavers","2023/24","Mid Ulster","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",36.9,60.3,55.8
"Percentage of school leavers","2023/24","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",82.3,90.4,88.8
"Percentage of school leavers","2023/24","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",55.1,77.3,73
"Percentage of school leavers","2023/24","Mid Ulster","Total leavers",NA,NA,NA
"Percentage of school leavers","2023/24","Newry, Mourne and Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",22.9,45,40
"Percentage of school leavers","2023/24","Newry, Mourne and Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",32.1,57.3,51.6
"Percentage of school leavers","2023/24","Newry, Mourne and Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",34.5,59.6,53.9
"Percentage of school leavers","2023/24","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",76.5,88.7,86
"Percentage of school leavers","2023/24","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",53.3,77.9,72.4
"Percentage of school leavers","2023/24","Newry, Mourne and Down","Total leavers",NA,NA,NA
"Percentage of school leavers","2023/24","Ards and North Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",17.5,42.2,38.4
"Percentage of school leavers","2023/24","Ards and North Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",30.5,55.9,52
"Percentage of school leavers","2023/24","Ards and North Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",35.6,59,55.4
"Percentage of school leavers","2023/24","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",74,88.7,86.4
"Percentage of school leavers","2023/24","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",50.7,77.6,73.4
"Percentage of school leavers","2023/24","Ards and North Down","Total leavers",NA,NA,NA
"Percentage of school leavers","2023/24","Northern Ireland","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",21,43.4,38.5
"Percentage of school leavers","2023/24","Northern Ireland","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",31.4,56,50.7
"Percentage of school leavers","2023/24","Northern Ireland","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",34.9,59,53.8
"Percentage of school leavers","2023/24","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",77.9,90,87.4
"Percentage of school leavers","2023/24","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",51.8,77,71.6
"Percentage of school leavers","2023/24","Northern Ireland","Total leavers",NA,NA,NA
"Percentage of school leavers","2024/25","Antrim and Newtownabbey","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",15.9,44.2,39.6
"Percentage of school leavers","2024/25","Antrim and Newtownabbey","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",23.4,57.8,52.2
"Percentage of school leavers","2024/25","Antrim and Newtownabbey","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",26.6,60,54.6
"Percentage of school leavers","2024/25","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",73.4,92.3,89.3
"Percentage of school leavers","2024/25","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",42.2,79.3,73.2
