"Statistic","Academic year","Local Government District","Attainment","Free school meal entitled","Not free school meal entitled","All persons"
"Number of school leavers","2014/15","Mid Ulster","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",157,837,994
"Number of school leavers","2014/15","Mid Ulster","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",183,896,1079
"Number of school leavers","2014/15","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",321,1260,1581
"Number of school leavers","2014/15","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",216,1068,1284
"Number of school leavers","2014/15","Mid Ulster","Total leavers",470,1465,1935
"Number of school leavers","2014/15","Newry, Mourne and Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",127,848,975
"Number of school leavers","2014/15","Newry, Mourne and Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",220,1172,1392
"Number of school leavers","2014/15","Newry, Mourne and Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",252,1249,1501
"Number of school leavers","2014/15","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",398,1576,1974
"Number of school leavers","2014/15","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",298,1404,1702
"Number of school leavers","2014/15","Newry, Mourne and Down","Total leavers",617,1843,2460
"Number of school leavers","2014/15","Ards and North Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",29,631,660
"Number of school leavers","2014/15","Ards and North Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",48,846,894
"Number of school leavers","2014/15","Ards and North Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",63,924,987
"Number of school leavers","2014/15","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",115,1212,1327
"Number of school leavers","2014/15","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",83,1068,1151
"Number of school leavers","2014/15","Ards and North Down","Total leavers",264,1462,1726
"Number of school leavers","2014/15","Northern Ireland","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",984,7569,8553
"Number of school leavers","2014/15","Northern Ireland","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",1528,10183,11711
"Number of school leavers","2014/15","Northern Ireland","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",1875,11030,12905
"Number of school leavers","2014/15","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",3432,14701,18133
